DOI	Affiliations
10.1016/j.ijmecsci.2021.106568	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, 76344 Eggenstein-Leopoldshafen, Germany; Department of Production Engineering, Faculty of Mechanical Engineering and Design, Kaunas University of Technology, LT-51424 Kaunas, Lithuania; Department of Materials Science, South Ural State University, Lenin prospect 76, Chelyabinsk, 454080, Russian Federation; Institute of Physics and Technology, International X-ray Optics Lab, National Research Tomsk Polytechnic University (TPU), 30 Lenin ave., Tomsk, 634050, Russian Federation; Department of Production Engineering and Printing Technology, Akhbar Elyom Academy 6th of October, Egypt
10.1039/d1ra05265a	Institute of Organic Chemistry (IOC), Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 6, 76131 Karlsruhe, Germany; 3DMM2O-Cluster of Excellence (EXC-2082/1-390761711), Karlsruhe Institute of Technology (KIT), Kaiserstraße 12, Karlsruhe, 76131, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Biological and Chemical Systems (IBCS-FMS), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.3390/ma14164352	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1007/s12665-021-09787-0	Helmholtz Centre for Environmental Research - UFZ, Leipzig, Germany; Technische Universität Bergakademie Freiberg - TUBAF, Freiberg, Germany; Federal Institute for Geosciences and Natural Resources - BGR, Hanover, Germany; Institut für Gebirgsmechanik GmbH - IfG, Leipzig, Germany; Christian-Albrechts-Universität zu Kiel - CAU, Kiel, Germany; University of Stuttgart, Stuttgart, Germany; Technische Universität Dresden, Dresden, Germany; Technische Universität Braunschweig, Braunschweig, Germany
10.1016/j.psep.2021.06.013	Department of Chemical Engineering, Isfahan University of Technology, Isfahan, 84156-83111, Iran; Department of Chemical Engineering, Vrije Universiteit Brussel, Brussels, 1050, Belgium; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1016/j.watres.2021.117315	Institute for Advanced Membrane Technology (IAMT), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Functional Interfaces (IFG), KIT, Eggenstein-Leopoldshafen, 76344, Germany; Karlsruhe Nano Micro Facility (KNMF), KIT, Eggenstein-Leopoldshafen, 76344, Germany
10.1002/adhm.202100632	Institute of Biological and Chemical Systems - Functional Molecular Systems (IBCS-FMS), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute for Automation and Applied Informatics (IAI), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Organic Chemistry, Karlsruhe Institute of Technology (KIT), Karlsruhe, 76131, Germany
10.1021/acsanm.1c00636	Institute of Physical Chemistry and Electrochemistry, Leibniz Universität Hannover, Callinstr. 3a, Hanover, 30167, Germany; Food Technology Research Institute, Agricultural Research Center, 9 Cairo University St., Giza, 12619, Egypt; Institute of Physical Chemistry, Westfälische Wilhelms-Universität Münster, Corrensstraße 30, Münster, D-48149, Germany; Fachbereich Physik and WZMW, Philipps Universität Marburg, Marburg, 35032, Germany; Instituto de Magnetismo Aplicado, UCM-ADIF-CSIC, Las Rozas, 28230, Spain; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology, Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Instituto de Cerámica y Consejo Vidrio, CSIC & IMDEA Nanociencia, Madrid, E-28049, Spain; Centro Singular de Investigación en Química Biolóxica e Materiais Moleculares (CiQUS), Departamento de Química Inorgánica, Universidade de Santiago de Compostela, Santiago de Compostela, 15782, Spain; Institute of Inorganic Chemistry, Leibniz Universität Hannover, Callinstr. 9, Hanover, 30167, Germany; Cluster of Excellence Hearing4all, Hanover, 30167, Germany; Fachbereich Physik und Chemie, CHyN, Universität Hamburg, Luruper Chaussee 149, Hamburg, 22607, Germany; Cluster of Excellence PhoenixD (Photonics, Optics and Engineering − Innovation Across Disciplines), Hanover, 30167, Germany
10.1002/anie.202015790	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Organic Chemistry (IOC), Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 6, Karlsruhe, 76131, Germany; Department of Chemistry and Chemical Biology, TU Dortmund University, Otto-Hahn-Str. 6, Dortmund, 44227, Germany
10.3390/chemosensors9070171	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, Karlsruhe, 76344, Germany; Molecular Cell Biology, Botanical Institute, Karlsruhe Institute of Technology, Fritz-Haber-Weg, Karlsruhe, 76131, Germany; Light Technology Institute, Karlsruhe Institute of Technology, Engesserstraße 13, Karlsruhe, 76131, Germany; Institute of Microstructure Technology, Karlsruhe Institute of Technology, Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, Karlsruhe, 76344, Germany
10.3390/en14133875	Studies and Research in Science and Technology Group (GCITE), Federal Institute of Goias (IFG), Goiania, 74055-110, Brazil; Electrical, Mechanical & Computer Engineering School (EMC), Federal University of Goias (UFG), Goiania, 74605-010, Brazil; Visualization, Simulation and Modeling (VSIM), Carleton University, Ottawa, ON  K1S 5B6, Canada; Agroindustrial Automation and Precision Agriculture (AutoAgri), Instituto Federal Goiano (IFGoiano), Trindade, 75389-269, Brazil
10.1002/adhm.202100206	Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Karlsruhe Institute of Technology (KIT), Institute of Mechanical Process Engineering and Mechanics (MVM), Gotthard-Franz-Straße 3, Karlsruhe, 76131, Germany; Karlsruhe Institute of Technology (KIT), Institute of Organic Chemistry (IOC), Fritz-Haber-Weg 6, Karlsruhe, 76131, Germany
10.1002/advs.202100548	State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences, Fuzhou, 350002, China; Faculty of Chemistry and Food Chemistry, Technical University Dresden, Dresden, 01069, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Eggenstein-Leopoldshafen, 76344, Germany; Institute of Resource Ecology, Helmholtz-Center Dresden-Rossendorf, Leipzig Research Branch, Leipzig, 04318, Germany; Fujian Science and Technology Innovation Laboratory for Optoelectronic Information of China, Fuzhou, Fujian  350108, China; University of Chinese Academy of Sciences, Beijing, 100049, China
10.3389/fchem.2021.696957	Institute of Biological and Chemical Systems- Functional Molecular Systems (IBCS-FMS), Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany; Karlsruhe Institute of Technology (KIT), EPICUR European University, Karlsruhe, Germany; Institute of Organic Chemistry (IOC), Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany
10.1021/acs.jpcc.1c01765	Karlsruher Institut für Technologie (KIT), Institut für Funktionelle Grenzflächen (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1145/3466933.3466964	NETI-Numbers, Inhumas Campus, Federal Institute of Goiás - IFG, Inhumas, Goiás, Brazil
10.1002/adma.202100117	Institute of Biological and Chemical Systems – Functional Materials Systems (IBCS-FMS), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz Pl. 1, Eggenstein-Leopoldshafen, 76344, Germany; Mechanical Engineering Department Institute for Nano- and Microfluidics, Technical University of Darmstadt, Alarich-Weiss-Str. 10, Darmstadt, 64287, Germany; Institute of Applied Materials – Computational Materials Science, Karlsruhe Institute of Technology (KIT), Straße am Forum 7, Karlsruhe, 76131, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Digital Materials Science, Karlsruhe University of Applied Sciences, Moltkestraße 30, Karlsruhe, 76133, Germany; Institute of Organic Chemistry (IOC), Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 6, Karlsruhe, 76021, Germany
10.1590/fst.12620	Instituto Federal de Educação, Ciência e Tecnologia de Goiás – IFG, Goiás, GO, Brazil; Universidade Estadual de Goiás – UEG, Anápolis, GO, Brazil
10.1007/s11356-021-12618-1	Physics Department, Faculty of Science, Cairo University, Giza, Egypt; Faculty of Nanotechnology for Postgraduate Studies, Cairo University, El-Sheikh Zayed, 12588, Egypt; Department of Mechatronics, Canadian International College, Fifth Settlement, New Cairo, Egypt; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1016/j.jclepro.2021.126861	Dept. Civil, Environmental & Geomatic Engineering, University College London- UCL, Chadwick Building, Gower St, London, WC1E 6BT, United Kingdom; Sustainable Process Technology, Department 2, Federal Institute of Goiás, IFG, Rua 75, 46, Centro, Goiânia, GO  CEP 74055110, Brazil; Agronomy Faculty, Federal University of Goiás – UFG, Campus Samambaia, Av. Esperança S/n, Goiânia, Goiás  CEP 74690-900, Brazil
10.1021/acsapm.1c00231	Institute for Advanced Membrane Technology (IAMT), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1021/jacs.1c01693	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Biological Interfaces (IBG-2), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Fakultät für Chemie und Lebensmittelchemie, TU Dresden, Bergstraße 66c, Dresden, 01062, Germany; Department of Chemistry and IRIS Adlershof, Humboldt-Universität zu Berlin, Brook-Taylor-Strasse 2, Berlin, 12489, Germany; DWI-Leibniz Institute for Interactive Materials, Forckenbeckstrasse 50, Aachen, 52074, Germany; Institute of Technical and Macromolecular Chemistry, RWTH Aachen University, Worringer Weg 2, Aachen, 52074, Germany; Forschungsstelle Leipzig, Helmholtz-Zentrum Dresden-Rossendorf, Permoserstraße 15, Leipzig, 04318, Germany
10.1021/acsami.1c00366	Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Karlsruhe Institute of Technology (KIT), Institute of Nanotechnology (INT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.33182/ks.v9i1.569	French Institute of Geopolitics (IFG), Université Vincennes Saint-Denis (Paris VIII), 2, rue de la Liberté, Cedex, Saint-Denis, 93526, France
10.3390/s21092935	Image Processing and GIS Lab (LAPIG), Federal University of Goiás (UFG), Goiânia, 74001-970, Brazil; Embrapa Cerrados, Planaltina, 73301-970, Brazil; Brazilian Institute of Environment and Renewable Natural Resources (IBAMA), Brasília, 70818-900, Brazil; Federal Institute of Education, Science and Technology of Goiás (IFG), Goiânia, 74055-110, Brazil
10.1002/admi.202100262	Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz Platz-1, Eggenstein-Leopoldshafen, 76344, Germany; State Key Laboratory of Mechanics and Control of Mechanical Structures, Key Laboratory for Intelligent Nano Materials and Devices of the MOE, Institute of Nano Science, Nanjing University of Aeronautics and Astronautics, Nanjing, 210016, China; CNRS, Université de Nantes, CEISAM UMR 6230, Nantes, F-44000, France
10.1016/j.jaap.2021.105037	Department of Production Engineering, Faculty of Mechanical Engineering and Design, Kaunas University of Technology, Kaunas, LT-51424, Lithuania; Lithuanian Energy Institute, Laboratory of Combustion Processes, Breslaujos 3, Kaunas, LT-44403, Lithuania; Department of Materials Science, Physical and Chemical Properties of Materials, South Ural State University (National Research University), Lenin Prospect 76, Chelyabinsk, 454080, Russian Federation; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Department of Production Engineering and Printing Technology, Akhbar Elyom Academy, 6th of October, Egypt
10.1007/s41204-020-00099-5	Environmental and Chemical Engineering Research Unit, Faculty of Technology, University of Oulu, Oulu, Finland; Laboratory of Catalysis and Corrosion of Materials (LCCM), Faculty of Sciences, University of Chouaib Doukkali, El Jadida, Morocco; Federal Institute of Goiás - IFG, Goiania, Brazil
10.1039/d0cp05136e	Institut Laue-Langevin, CS 20156, Grenoble Cedex 9, 38042, France; Westfälische Hochschule, Gelsenkirchen, Bocholt, Recklinghausen, August-Schmidt-Ring 10, Recklinghausen, 45665, Germany; Technische Universität München, Forschungsneutronenquelle Heinz Maier-Leibnitz (FRM II), Lichtenbergstr. 1, Garching, 85747, Germany; RUBION, Ruhr-Universität Bochum, Universitätsstr. 150, Bochum, 44801, Germany; Technische Fakultät der Universität Kiel, Institut für Materialwissenschaft-Materialverbunde, Kaiserstr. 2, Kiel, 24143, Germany; Karlsruher Institut für Technologie (KIT), Institut für Funktionelle Grenzflächen (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; GREMI, UMR 7344 CNRS/Université d’Orléans, Orléans, Cedex 2, France
10.1039/d0cp02698k	Karlsruher Institut für Technologie (KIT), Institut für Funktionelle Grenzflächen (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Fachbereich Physik, Universität Osnabrück, Barbarastrasse 7, Osnabrück, 49076, Germany
10.1021/acs.inorgchem.0c02492	Department of Chemistry and Chemical Engineering, Syed Babar Ali School of Science and Engineering, Lahore University of Management Sciences (LUMS), Lahore, Punjab, 54792, Pakistan; Department of Chemistry, Lahore College for Women University, Jail Road, Lahore, Punjab, 54000, Pakistan; Institute for Applied Materials (IAM), Karlsruhe Nano Micro Facility (KNMF), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Macromolecular Architectures, Institut für Technische Chemie und Polymerchemie, Karlsruhe Institute of Technology (KIT), Engesserstr. 18, Karlsruhe, 76131, Germany; Centre for Materials Science, School of Chemistry and Physics, Queensland University of Technology (QUT), 2 George Street, Brisbane, QLD  4000, Australia
10.1007/s42860-021-00136-7	Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Competence Center of Material Moisture (CMM), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; TU Bergakademie Freiberg, Institute of Mineralogy, Brennhausgasse 14, Freiberg, 09596, Germany; Geophysical Exploration - Technical Mineralogy, Federal Institute for Geosciences and Natural Resources, Geozentrum Hannover, Stilleweg 2, Hannover, 30655, Germany; Karlsruhe Institute of Technology (KIT), Institute for Concrete Structures and for Building Materials (IMB), Gotthard-Franz-Str. 3, Karlsruhe, 76131, Germany
10.1016/j.forsciint.2020.110605	Charles Sturt University, Australia; Law Enforcement Adviser International Union of Geological Sciences (IUGS), Initiative on Forensic Geology (IFG), Australia
10.1016/j.apradiso.2021.109598	Instituto Federal de Educação, Ciência e Tecnologia de Goiás-IFG, Rua 75 No 46, Goiânia, GO  74055-110, Brazil; Instituto de Pesquisas Energéticas e Nucleares, Comissão Nacional de Energia Nuclear-IPEN/CNEN, Av. Prof. Lineu Prestes2242, São Paulo, SP  05508-000, Brazil
10.1002/advs.202001884	Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1007/s00404-020-05869-9	Department of Gynecology and Gynecologic Oncology, Hamburg-Eppendorf University Medical Center, Martinistrasse 52, Hamburg, 20246, Germany; Department of Gynecology and Obstetrics, Schleswig-Holstein University Medical Center, Campus Lübeck, Ratzeburger Allee 160, Lübeck, 23562, Germany; Department of Internal and Integrative Medicine, Faculty of Medicine, Evangelische Kliniken Essen-Mitte, University of Duisburg-Essen, Am Deimelsberg 34a, Essen, 45276, Germany; Department of Gynecology and Obstetrics, Klinikum Rechts Der Isar, Technical University of Munich, Ismaninger Strasse 22, Munich, Germany; Breast Care Unit, Evangelische Huyssens-Stiftung, Kliniken Essen Mitte, Henricistrasse 92, MastologyEssen, 45136, Germany; Department of Gynecology, Erlangen University Hospital, Friedrich Alexander University of Erlangen–Nuremberg, Comprehensive Cancer Center Erlangen-EMN, Universitätsstrasse 21–23, Erlangen, 91054, Germany; Dipl. Med. Ulrich Freitag, State Association Chairman of the BVF, Private Practice, Turnerweg 11a, Wismar, 23970, Germany; Department of Gynecology and Obstetrics, Phillips University of Marburg, Baldingerstrasse, Marburg, 35033, Germany; Department of Obstetrics and Gynecology, University of Heidelberg, Im Neuenheimer Feld 672, Heidelberg, 69120, Germany; Institute for Women’s Health (IFG) GmbH, Universitätsstrasse 21–23, Erlangen, 91054, Germany
10.1016/j.nonrwa.2020.103223	Instituto Federal de Educação-IFG, Campus Goiânia, GO74055-110, Brazil; Instituto de Matemática e Estatística-IME – Universidade Federal de Goiás-UFG, Campus II, Goiânia, GO74690-900, Brazil
