PT	AU	BE	TI	X1	Y1	Z1	SO	LA	DT	DE	X5	Y5	Z5	AB	X4	Y4	Z4	C1	EM	RI	OI	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	PD	PY	VL	IS	BP	EP	DI	EC	C2	SC	UT	OA	HC	HP	DA
J	Quequeto, Wellytton Darci; Siqueira, Valdiney Cambuy; Nazario, Carlos Eduardo Domingues; Junqueira, Maria Heloisa; Schoeninger, Vanderleia; Martins, Elton Aparecido Siqueira		Oil composition and physiological quality of niger seeds after drying				Acta Scientiarum. Agronomy	English	research-article	Guizotia abyssinica Cass.; postharvest; fatty acid profile; oilseed.				ABSTRACT. With the depletion of fossil fuel resources accelerating the search for renewable energy sources, studies on agricultural products containing a significant amount of oil in their compositions have intensified. The objective of this work was to investigate the fatty acid profile and the physiological quality of the oil extracted from niger seeds dried at different temperatures. The seeds were dried at 40, 50, 60, and 70°C, until their moisture content reached 8.5 ± 1% (wet basis). The physiological properties of niger seeds were determined by assessing their germination, germination speed index, mean germination time, cold test, accelerated aging with a saturated solution, emergence percentage, and emergence speed index. The quality of the oil was evaluated using gas chromatography, based on the fatty acid profile. We concluded that drying air temperatures of 40 and 50°C did not compromise the physiological quality of niger seeds. However, the 70°C drying temperature seriously impaired seed quality. The drying temperatures that were used in this study did not substantially alter the fatty acid profile of niger oil.				[Siqueira, Valdiney Cambuy; Junqueira, Maria Heloisa; Schoeninger, Vanderleia; Martins, Elton Aparecido Siqueira] Universidade Federal da Grande Dourados, Brazil; [Nazario, Carlos Eduardo Domingues] Universidade Federal de Mato Grosso do Sul, Brazil; [Quequeto, Wellytton Darci] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil		Nazario, Carlos Eduardo Domingues/G-9525-2012; Siqueira, Valdiney Cambuy/AAD-3058-2019; Agronomy, Acta Scientiarum/AAB-4532-2020; Quequeto, Wellytton Darci/AAV-9654-2020	Nazario, Carlos Eduardo Domingues/0000-0001-5097-3298; Siqueira, Valdiney Cambuy/0000-0003-3698-0330; Quequeto, Wellytton Darci/0000-0002-0658-2692		41	0	0	0	1	Editora da Universidade Estadual de Maringá - EDUEM			1807-8621		2020	42		e44398		10.4025/actasciagron.v42i1.44398	Agronomy	SciELO Brazil	Agriculture	SCIELO:S1807-86212020000105027	gold				
J	Rios, Leonardo Essado; Freire, Maria do Carmo Matias		Opinião de escolares adolescentes fumantes sobre aconselhamento e tratamento para cessação do tabagismo em serviços de saúde: estudo transversal, Goiás, 2018	Opinion of adolescent school smokers about smoking cessation counseling and treatment in health services: a cross-sectional study, Goiás, Brazil, 2018	Opinión de escolares adolescentes fumadores sobre el asesoramiento y el tratamiento para dejar de fumar en los servicios de salud: un estudio transversal, Goiás, Brasil, 2018		Epidemiologia e Serviços de Saúde	Portuguese	research-article	Adolescent; Tobacco Use Disorder; Smoking Cessation; Smoking Prevention; Cross-Sectional Studies	Adolescente; Tabaquismo; Cese del Hábito de Fumar; Prevención del Hábito de Fumar; Estudios Transversales	Adolescente; Tabagismo; Abandono do Hábito de Fumar; Prevenção do Hábito de Fumar; Estudos Transversais		Abstract Objective To know the opinion of adolescent school smokers about smoking cessation counseling and treatment, and to investigate whether negative opinion was associated with lack of motivation to stop smoking. Methods This was a cross-sectional study carried out in Goiás state, Brazil, with an intentional sample of adolescent students, in 2018. Poisson regression was used. Results One hundred and thirty adolescents took part. Most of them expressed a positive opinion on the three smoking cessation interventions surveyed: medical counseling (76.2%), dental counseling (70.0%), and smoking cessation treatment (66.2%). Negative opinions were more frequent among adolescents who were not motivated to stop smoking (p<0.05). Regression analyses revealed that lack of motivation to quit smoking was associated with a negative opinion about each intervention. Conclusion The adolescents had a positive opinion about counseling and treatment for smoking cessation in health services. Negative opinion was associated with lack of motivation to quit smoking.	Resumen Objetivo Conocer la opinión de escolares fumadores adolescentes sobre el asesoramiento y el tratamiento para dejar de fumar en servicios de salud, e investigar si una opinión negativa está asociada a la falta de motivación para parar de fumar. Métodos Estudio transversal realizado en Goiás, Brasil, con muestra intencional de escolares adolescentes, en 2018; se utilizó la Regresión de Poisson. Resultados Participaron 130 adolescentes, la mayoría expresó una opinión positiva sobre las tres intervenciones para cesar el tabaquismo: asesoramiento médico (76,2%) y dental (70,0%), y tratamiento para cesación (66,2%). Las opiniones negativas fueron más frecuentes entre adolescentes sin motivación para parar de fumar (p<0.05). Los análisis de regresión revelaron que la falta de motivación para parar estaba asociada a opinión negativa sobre cada intervención. Conclusión Los adolescentes tenían una opinión positiva sobre asesoramiento y tratamiento para dejar de fumar en servicios de salud. La opinión negativa se asoció con falta de motivación para dejar el hábito.	Resumo Objetivo conhecer a opinião de escolares adolescentes fumantes sobre aconselhamento e tratamento para cessação do tabagismo, e investigar se uma opinião negativa estava associada à falta de motivação para parar de fumar. Métodos estudo transversal, realizado no estado de Goiás, Brasil, com amostra intencional de escolares adolescentes, em 2018; utilizou-se regressão de Poisson. Resultados participaram 130 adolescentes. A maioria manifestou opinião positiva sobre as três intervenções para cessação do tabagismo pesquisadas – aconselhamento médico (76,2%), aconselhamento odontológico (70,0%) e tratamento para cessação (66,2%); Opiniões negativas foram mais frequentes entre jovens desmotivados a abandonar o tabagismo (p<0,05), análises de regressão revelaram a falta de motivação para parar de fumar associada à opinião negativa sobre cada uma das três intervenções. Conclusão os adolescentes apresentaram opinião positiva sobre oferta de aconselhamento e tratamento para cessação do tabagismo em serviços de saúde; opinião negativa foi associada à falta de motivação para cessar o tabagismo.		[Freire, Maria do Carmo Matias] Universidade Federal de Goiás, Brazil; [Rios, Leonardo Essado] Instituto Federal de Goiás, Brasil		Rios, Leonardo Essado/AAV-4914-2021; Freire, Maria do Carmo Matias/AAF-9890-2021	Rios, Leonardo Essado/0000-0002-3096-9141; Freire, Maria do Carmo Matias/0000-0001-6078-6728		25	0	1	1	1	Secretaria de Vigilância em Saúde - Ministério da Saúde do Brasil			2237-9622		2020	29	4	e2019604		10.5123/s1679-49742020000400001	Health Care Sciences & Services; Health Policy & Services; Infectious Diseases; Medicine, General & Internal	SciELO Brazil	Health Care Sciences & Services; Infectious Diseases; General & Internal Medicine	SCIELO:S2237-96222020000400302	gold				
J	Rios, Leonardo Essado		Behavior Change Theories: a New Medical Education Paradigm?	Teorias de Mudança de Comportamento: um Novo Paradigma da Educação Médica?			Revista Brasileira de Educação Médica	English	case-report	Behavior; Psychological Theory; Medical Education		Comportamento; Teoria Psicológica; Educação Médica		Abstract: A critical perspective on the importance of evidence-based behavior change theories for medical education is presented. Numerous theoretical models have been proposed to explain behavior changes, with two theories currently emerging as a new paradigm, namely the Behaviour Change Wheel (BCW) and the Prime Theory of Motivation. Behind this is the fact that these theories were proposed based on comprehensive literature review about explanatory models of behavioral changes, in addition to consensus among experts. The basic principle is that any change in behavior necessarily involves three interrelated aspects: capability, opportunity, and motivation. In the present essay, these theories were addressed with a view to problems involving behaviors in medical education, and emphasis on the problem of obsolete teaching practices in the training of health professionals. Assuming that good teachers have a global view of the teaching profession, and not merely of their specialty, interventions to change outdated teaching performances among health educators should start by understanding their motivation to change. It is also necessary to investigate their knowledge and skills about innovative teaching-learning methods (capability), as well as whether the environment supports methodological diversification and innovation (opportunity). In summary, evidence-based behavior change theories may represent a new paradigm for medical education when the goal involves overcoming behavioral problems.		Resumo: Apresenta-se uma perspectiva crítica sobre a importância das teorias de mudança de comportamento baseadas em evidência para a educação médica. Inúmeros modelos teóricos têm sido propostos para explicar mudanças de comportamento, com duas teorias atualmente emergindo como um novo paradigma, nomeadamente a Behaviour Change Wheel (BCW) e a Prime Theory of Motivation. Por trás disso, está o fato de que essas teorias foram propostas com base em uma revisão abrangente da literatura sobre modelos explicativos de mudanças comportamentais, além de consenso entre especialistas. O princípio básico é que qualquer mudança de comportamento envolve necessariamente três aspectos inter-relacionados: capacidade, oportunidade e motivação. No presente ensaio, essas teorias foram abordadas com vistas a problemas que envolvem comportamentos na educação médica, com ênfase na questão das práticas obsoletas de ensino na formação de profissionais de saúde. Assumindo que bons professores têm uma visão global da profissão de professor, e não apenas de sua especialidade, intervenções para melhorar performances ultrapassadas de ensino entre educadores em saúde devem primeiramente entender a motivação deles para mudar. Também é necessário investigar os conhecimentos e as habilidades deles sobre métodos inovadores de ensino-aprendizagem (capacidade), bem como se o ambiente apoia a diversificação metodológica e a inovação (oportunidade). Em suma, as teorias de mudança de comportamento baseadas em evidências podem representar um novo paradigma para a educação médica quando o objetivo envolve superar problemas comportamentais.		[Rios, Leonardo Essado] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil		Rios, Leonardo Essado/AAV-4914-2021	Rios, Leonardo Essado/0000-0002-3096-9141		11	0	0	0	0	Associação Brasileira de Educação Médica			1981-5271		2020	44	4	e162		10.1590/1981-5271v44.4-20200276.ing	Health Care Sciences & Services	SciELO Brazil	Health Care Sciences & Services	SCIELO:S0100-55022020000400801	gold				
J	Siqueira, Valdiney Cambuy; Leite, Rafael Araújo; Mabasso, Geraldo Acácio; Martins, Elton Aparecido Siqueira; Quequeto, Wellytton Darci; Isquierdo, Eder Pedroza		Drying kinetics and effective diffusion of buckwheat grains	Cinética de secagem e difusão efetiva de grãos de trigo mourisco			Ciência e Agrotecnologia	English	research-article	Activation energy; Fagopyrum esculentum Moench; mathematical models; AIC and BIC; gluten		Energia de ativação; Fagopyrum esculentum Moench; modelos matemáticos; AIC e BIC; glúten		ABSTRACT Buckwheat has become important in the food sector as its flour does not contain gluten. Since buckwheat is a relatively new crop in the agricultural environment, there is little information available regarding its processing. Drying is one of the most important post-harvest stages of buckwheat. The aim of the present study was to describe the drying process of buckwheat grains. Buckwheat grains with a moisture content of 0.41 ± 0.01 (dry basis, d.b.) were harvested, followed by drying in an experimental dryer at the temperatures of 40, 50, 60, 70, and 80 °C, at an air speed of 0.8 m s-1. The drying rate was determined, and the mathematical models generally employed to describe the drying process of several agricultural products were fitted to the experimentally obtained data. Model selection was based on the Gauss-Newton non-linear regression method and was complemented by Akaike Information Criterion and Schwarz’s Bayesian Information Criterion. It was concluded that the drying rate increased with an increase in temperature and decreased with an increase in drying time. It is recommended to use the Midilli model to represent the drying kinetics of buckwheat grains at the temperatures of 40, 60, and 70 °C, while the Approximation of diffusion model is recommended for the temperatures of 50 and 80 °C. The magnitudes of effective diffusion coefficients ranged from 1.8990 × 10-11 m2 s-1 to 17.8831 × 10-11 m2 s-1. The activation energy required to initiate the drying process was determined to be 49.75 kJ mol-1.		RESUMO O trigo mourisco tem se destacado na cadeia alimentícia por não possuir glúten em sua farinha. Por ser uma cultura relativamente nova no meio agrícola, faltam informações referentes ao seu processamento, dentre as etapas pós-colheita a secagem é uma das mais importantes. O objetivo do presente trabalho foi descrever o processo de secagem de grãos de trigo mourisco. Os grãos foram colhidos com teor de água de 0.41 ± 0.01 (b.s.) e submetidos a secagem em secador experimental nas temperaturas de 40, 50, 60, 70 e 80 °C, e velocidade do ar de 0.8 m s-1. Determinou-se a taxa de secagem e ajustou-se aos dados experimentais modelos matemáticos frequentemente utilizados para a descrição da secagem de diversos produtos agrícolas. A seleção dos modelos foi baseada no método de regressão não linear de Gauss-Newton e complementada pelo Critério de Informação de Akaike e Critério de Informação Bayesiano de Schwarz’s. Conclui-se que, a taxa de redução da água foi maior para maiores temperaturas e diminuiu com o aumento do tempo de secagem; o modelo de Midilli é recomendado para representar a cinética de secagem dos grãos nas temperaturas de 40, 60 e 70 ºC; para a temperaturas de 50 e 80 ºC recomenda-se o modelo de aproximação da difusão; os coeficientes de difusão efetivo apresentaram magnitude de 1.8990 a 17. 8831 × 10-11 m2 s-1 e; a energia de ativação requerida para iniciar o processo de secagem foi de 49.75 kJ mol-1.		[Isquierdo, Eder Pedroza] Universidade do Estado de Mato Grosso, Brazil; [Mabasso, Geraldo Acácio] Zambeze University, Mozambique; [Quequeto, Wellytton Darci] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil; [Siqueira, Valdiney Cambuy; Leite, Rafael Araújo; Martins, Elton Aparecido Siqueira] Universidade Federal da Grande Dourados, Brazil		Siqueira, Valdiney Cambuy/AAD-3058-2019	Siqueira, Valdiney Cambuy/0000-0003-3698-0330; Mabasso, Geraldo Acacio/0000-0002-7725-8195; Quequeto, Wellytton Darci/0000-0002-0658-2692		35	0	0	1	2	Editora da UFLA			1981-1829		2020	44		e011320		10.1590/1413-7054202044011320	Agriculture, Multidisciplinary	SciELO Brazil	Agriculture	SCIELO:S1413-70542020000100235	gold				
J	Vieira, Darlene Ana de Paula; Caliari, Márcio; Souza, Eli Regina Barboza de; Vilhalva, Divina Aparecida Anunciação; Soares Júnior, Manoel Soares		Quantitative Cellular Evaluation and Anatomical Organization of the External Region of Different Genetic Materials and Maturation Stages of Tomato Processing				Brazilian Archives of Biology and Technology	English	research-article	cuticle; epidermis; cell size; digital image				Abstract The effect of the anatomical structure of tomato skin may be significant for quality determination at the harvest point, but the definitions of cells that constitute the skin of fleshy fruits, such as tomato, are still unclear, providing contradictory descriptions. The aim of this study was to evaluate the epidermal tissue of different genetic materials of tomato processing (IT761, U2006, TC2736, CVR2909 and F3060) and maturation stage, in order to compare and choose genetic materials with morphological characteristics of the epidermis region more appropriate for the bulk transport. Micrographs were used for cell measurements using the Image J software. Cuticle undergoes thickening during fruit growth, and reduction in full maturation. Genetic materials presenting fruits with thicker cuticle at the harvest stage (CVR2909, F3060 and IT761) were more advantageous due to their mechanical resistance. Cuticle deposition ends before full fruit maturation, resulting in a decrease in the amount of cutin per surface unit, consequently decreasing cuticle thickness in the ripe fruit. The characteristics observed in the tomato fruit mesocarp clearly showed the disruption of the cell wall during the fourth maturation stage related to loss of fruit firmness. Among the new genetic materials, F3060 has a greater potential to become cultivated for industrialization due to its morphological characteristics, such as elevated cuticle thickness and high values for width, height, perimeter and area of epidermal cells in full maturation stage, which make it suitable for bulk transport.				[Vieira, Darlene Ana de Paula] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil; [Caliari, Márcio; Souza, Eli Regina Barboza de; Vilhalva, Divina Aparecida Anunciação; Soares Júnior, Manoel Soares] Universidade Federal de Goiás, Brazil		de Souza, Eli Regina Barboza/ABI-6727-2020; Caliari, Márcio/ABI-1295-2020; Vieira, Darlene/ABC-6498-2020	Vieira, Darlene/0000-0001-8040-4934; Caliari, Marcio/0000-0002-0877-8250		54	0	0	4	5	Instituto de Tecnologia do Paraná - Tecpar			1678-4324		2020	63		e20190348		10.1590/1678-4324-2020190348	Biology	SciELO Brazil	Life Sciences & Biomedicine - Other Topics	SCIELO:S1516-89132020000100432	gold				
J	RINALDI, Maria Madalena; DIANESE, Alexei de Campos; COSTA, Ana Maria; ASSIS, Débora Figueiredo de Oliveira da Silva; OLIVEIRA, Thayrine Almeida Rodrigues de; ASSIS, Samara Figueiredo de Oliveira		Post-harvest conservation of Passiflora alata fruits under ambient and refrigerated condition				Food Science and Technology	English	research-article	sweet passion fruit; temperature; packaging; wax; color				Abstract Brazil is the world's largest producer of passion fruit, a perishable fruit with reduced post-harvest shelf life, which limits its commercialization. For sweet passion fruit, Passiflora alata, there is little information about its postharvest conservation and shelf life under different storage conditions. Thus, the objective of the present study was to determine the post-harvest conservation of P. alata fruits packed on styrofoam trays rapped with 10 μm PVC film and HDPE 30 μm thick, coated with 18% carnauba wax and without any packaging; stored under ambient conditions (25 °C and 70% relative humidity) and refrigerated (10 °C and 90% relative humidity) for 14 days. The best results were obtained with P. alata fruits packaged on styrofoam trays rapped with 10 μm PVC flexible film and kept under refrigeration in a cold room at a temperature of 10 °C and relative humidity between 85% and 90% for a period of 10 to 14 days. Fruits of P. alata , for commercialization “in natura”, kept under ambient conditions, should not be packaged and have a shelf life of up to seven days.				[RINALDI, Maria Madalena; COSTA, Ana Maria] Embrapa Cerrados, Brazil; [DIANESE, Alexei de Campos] Embrapa Cerrados, Brazil; [OLIVEIRA, Thayrine Almeida Rodrigues de] Instituto Federal de Goíás, Brasil; [ASSIS, Débora Figueiredo de Oliveira da Silva; ASSIS, Samara Figueiredo de Oliveira] Faculdade UnB Planaltina, Brasil		Costa, Ana Maria/AAS-4075-2021; Dianese, Alexei/AAE-9312-2019	Dianese, Alexei/0000-0002-0968-8206		45	0	0	2	4	Sociedade Brasileira de Ciência e Tecnologia de Alimentos			1678-457X	12	2019	39	4	889	896	10.1590/fst.14018	Food Science & Technology	SciELO Brazil	Food Science & Technology	SCIELO:S0101-20612019000400889	gold				
J	Rios, Leonardo Essado		Resenha Crítica do Livro: Theory of Addiction	Critical Review of the Book: Theory of Addiction			Revista Brasileira de Educação Médica	Portuguese	review-article	Behaviour; Psychological Theory; Medical Education		Comportamento; Teoria Psicológica; Educação Médica		ABSTRACT This is a review of the book Theory of Addiction, by Jamie Brown and Robert West, published in the UK by Wiley Blackwell in 2013. The PRIME Theory of Behaviour Change is presented and the author discusses its applicability to studies or interventions aimed at changing behaviours in the field of medical education.		RESUMO Trata-se de uma resenha do livro Theory of Addiction, de Jamie Brown e Robert West, publicado no Reino Unido pela Wiley Blackwell em 2013. A Teoria PRIME de Mudança de Comportamento é apresentada e o autor discute a sua aplicabilidade em estudos ou intervenções visando à mudança de comportamentos no campo da educação médica.		[Rios, Leonardo Essado] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil					5	1	1	0	0	Associação Brasileira de Educação Médica			1981-5271	12	2019	43	4	200	202	10.1590/1981-52712015v43n4rb20190093	Health Care Sciences & Services	SciELO Brazil	Health Care Sciences & Services	SCIELO:S0100-55022019000400200	gold				
J	VIEIRA, Darlene Ana de Paula; Caliari, Márcio; SOUZA, Eli Regina Barboza de; SOARES JÚNIOR, Manoel Soares		Mechanical resistance, biometric and physicochemical characteristics of tomato cultivars for industrial processing				Food Science and Technology	English	research-article	Solanum lycopersicum L.; epidermis; fruit size; puncture; peduncle scar				Abstract In order to help the choice and recommendation of cultivars with the greater mechanical resistance of fruits, this research aimed to determine the mechanical resistance and biometric and physicochemical characteristics of tomato cultivars for industrial processing. Eleven processing tomato cultivar fruits cultivar were used (IT761, H9992, H9553, AP533, Advance, N901, BR-Sena, U2006, HY26, HY37 and HY68). Tomatoes firmness was influenced by several factors, including thickness, epidermal cell shape, and internal structures. In general terms, fruits more resistant to compression and puncture presented low longitudinal diameter (55-59 mm), cross-sectional diameter (42-45 mm), scar diameter (5.8-6.6 mm), pericarp thickness (5.9-7.7 mm), fresh weight (56 - 70 g), volume (61-77 cm3) and ash (0.34-0.40 g 100 g-1), and high moisture content (96.2-96.6 g 100 g-1), and pectin content (0.39-0.47 mg 100 g-1). The fruits showing a better mechanical resistance come from AP533, IT761, HY37 and H9992 cultivars, which should be recommended for cultivation in order to reduce losses during harvest, bulk handling and transportation.				[Caliari, Márcio; SOUZA, Eli Regina Barboza de; SOARES JÚNIOR, Manoel Soares] Universidade Federal de Goiás, Brazil; [VIEIRA, Darlene Ana de Paula] Instituto Federal de Goiás, Brasil		de Souza, Eli Regina Barboza/ABI-6727-2020; Júnior, Manoel Soares Soares/ABH-9440-2020; Caliari, Márcio/ABI-1295-2020; Vieira, Darlene/ABC-6498-2020	Júnior, Manoel Soares Soares/0000-0001-8728-4592; Vieira, Darlene/0000-0001-8040-4934; Barboza de Souza, Eli Regina/0000-0001-6225-6122		32	0	2	1	6	Sociedade Brasileira de Ciência e Tecnologia de Alimentos			1678-457X	12	2019	39	suppl 2	363	370	10.1590/fst.32417	Food Science & Technology	SciELO Brazil	Food Science & Technology	SCIELO:S0101-20612019000600363	gold				
J	Maciel, Jhonny W.; Kalinke, Lucas H. G.; Valdo, Ana K.; Martins, Felipe T.; Rabelo, Renato; Moliner, Nicolás; Cano, Joan; Julve, Miguel; Lloret, Francesc; Cangussu, Danielle		New Metal-Organic Systems with a Functionalized Oxamate-Type Ligand and MnII, FeII, CuII and ZnII				Journal of the Brazilian Chemical Society	English	research-article	iron(II); manganese(II); zinc(II); copper(II); oxamate; magnetic properties; single-ion magnet				Four new complexes of formula [Fe(H2pcpa)2(H2O)2] (1), {[Mn(Hpcpa)(H2O)3]•1/2H2O}n (2), {[Zn(Hpcpa)(H2O)3]•1/2H2O}n (3) and [Cu2(Hpcpa)2(bipy)2]•8H2O (4) [H3pcpa = N-(4-carboxyphenyl)oxamic acid; bipy = 2,2¢-bipyridine] have been synthesized and their structures determined by X-ray diffraction. The structure of 1 consists of mononuclear iron(II) units where each iron(II) ion is six-coordinate by two trans-positioned water molecules and two bidentate H2pcpa- ligands building a distorted octahedral environment. 2 and 3 consist of neutral zigzag chains of MnII and ZnII ions respectively, the Hpcpa2- groups acting as linkers in a bidentate/monodentate coordination mode with three mer-positioned water molecules achieving the six-coordination around the metal centers. Compound 4 is a neutral centrosymmetric dicopper(II) complex where two Hpcpa2- groups adopting the bidentate/monodentate coordination mode and act as bridges and bidentate bipy molecules act as end-cap ligands, describing a square pyramidal surrounding around each copper atom. Cryomagnetic measurements for 1, 2 and 4 in the temperature range 1.9-300 K reveal the occurrence of a field-induced single-ion magnet (SIM) behavior (1) and weak interchain (J = -0.22 cm-1, 2) and intradimer (J = -0.39 cm-1, 4) antiferromagnetic interactions, the Hamiltonian being defined as H = -J Sa.Sb.				[Maciel, Jhonny W.; Kalinke, Lucas H. G.; Valdo, Ana K.; Martins, Felipe T.; Cangussu, Danielle] Universidade Federal de Goiás, Brazil; [Rabelo, Renato; Moliner, Nicolás; Julve, Miguel; Lloret, Francesc] Instituto de Ciencia Molecular, Spain; [Kalinke, Lucas H. G.; Cano, Joan] Instituto Federal de Goiás, Brazil		Kalinke, Lucas H G/D-2245-2015; de Oliveira Maciel, Jhonny Willians/ABC-7270-2020; Cano, Joan/A-4684-2012	Kalinke, Lucas H G/0000-0001-7765-1184; de Oliveira Maciel, Jhonny Willians/0000-0003-1706-3756;		93	0	11	0	10	Sociedade Brasileira de Química			1678-4790	11	2019	30	11	2413	2429	10.21577/0103-5053.20190158	Chemistry, Multidisciplinary	SciELO Brazil	Chemistry	SCIELO:S0103-50532019001102413	gold				
J	Carneiro, Fernando Henrique Silva; Pereira, Cláudia Catarino; Teixeira, Marcelo Resende; Húngaro, Edson Marcelo; Mascarenhas, Fernando		Orçamento do esporte no governo Dilma: a primazia dos interesses econômicos e o direito escanteado				Revista Brasileira de Ciências do Esporte	Portuguese	research-article	Public fund; Sport; Financing of sport; Government Dilma	Fondos públicos; Deporte; Financiación del deporte; Gobierno Dilma	Fundo público; Esporte; Financiamento do esporte; Governo Dilma		Abstract Sport has an integrative function, above all, through social sports policies, as well as an economic function of guaranteeing the general conditions of production, which was evidenced in Brazil from the major sporting events. The objective of this research was to identify the configuration of budget spending with sports in the Dilma government. This is a documentary survey based on the Pluriannual Plan - 2012/2015 and budget execution data extracted from the SIGA Brasil Portal, in which the magnitude and direction of expenditure indicators were analyzed. We identified that there are limits to the effectiveness of planned expenditures, as well as the privilege of spending on large events and infrastructure, to the detriment of direct spending on sports.	Resumen El deporte tiene tanto una función integradora, sobre todo, por medio de las políticas sociales deportivas, como la función económica de garantizar las condiciones generales de producción, que se ha puesto de manifiesto en Brasil a partir de la celebración de grandes eventos deportivos. El objetivo de esta investigación fue identificar la configuración del gasto presupuestario en deporte en el gobierno Dilma. Esta es una investigación documental realizada con base en el Plan Plurianual 2012/2015 y datos de la ejecución presupuestaria extraídos del portal SIGA Brasil, en la cual se analizaron los indicadores magnitud y dirección del gasto. Identificamos que hubo límites a la efectividad de los gastos planificados y se privilegió el gasto en grandes eventos e infraestructura en detrimento de los gastos directamente relacionados con la práctica deportiva.	Resumo O esporte tem tanto uma função integradora, sobretudo por meio das políticas sociais esportivas, quanto uma função econômica de garantir as condições gerais de produção, que se evidenciou no Brasil a partir dos grandes eventos esportivos. O objetivo desta pesquisa foi identificar a configuração do gasto orçamentário com esporte no governo Dilma. Esta é uma pesquisa documental feita com base no Plano Plurianual – 2012/2015 e dados da execução orçamentária extraídos do Portal Siga Brasil, em que foram analisados os indicadores magnitude e direção do gasto. Identificamos que há limites à efetivação dos gastos planejados, bem como privilégio do gasto com grandes eventos e infraestrutura em detrimento dos gastos diretos com a prática esportiva.		[Carneiro, Fernando Henrique Silva] Instituto Federal de Goiás, Brasil; [Carneiro, Fernando Henrique Silva; Pereira, Cláudia Catarino; Teixeira, Marcelo Resende; Húngaro, Edson Marcelo; Mascarenhas, Fernando] Universidade de Brasília, Brazil; [Carneiro, Fernando Henrique Silva; Pereira, Cláudia Catarino; Teixeira, Marcelo Resende; Húngaro, Edson Marcelo; Mascarenhas, Fernando] Universidade de Brasília, Brazil; [Teixeira, Marcelo Resende] Ministério do Esporte, Brazil			Hungaro, Edson Marcelo/0000-0002-7230-0155; Carneiro, Fernando Henrique/0000-0002-2800-1895; Mascarenhas, Fernando/0000-0003-0265-502X		19	1	5	0	0	Colégio Brasileiro de Ciências do Esporte			2179-3255	10	2019	41	4	343	349	10.1016/j.rbce.2018.03.032	Sport Sciences	SciELO Brazil	Sport Sciences	SCIELO:S0101-32892019000400343	gold				
